Index,Subkey,Value
1,3x1,0.00566420839999363
1,acak,0.02912124800889715
1,aktif,0.014755503334079632
1,alternatif,0.013346520352299104
1,ambil,0.00987994196379711
1,and,0.0
1,antiinflamasi,0.02912124800889715
1,antral,0.0373626719707242
1,antrum,0.013865087495081398
1,awat,0.010411828772398579
1,ayat,0.025529811840192772
1,badan,0.011674119356117492
1,batuk,0.014003264941102959
1,biopsi,0.05502314259716761
1,botol,0.0582424960177943
1,br,0.015635809224211226
1,bulbus,0.0373626719707242
1,cm,0.025796699939682463
1,com,0.0026186816388427533
1,connective,0.020288356339268003
1,curiga,0.019422791133759373
1,darah,0.004885544135489288
1,das,0.009514047833154864
1,detail,0.011585547162545989
1,diseases,0.016466600157243244
1,diskus,0.015831354965054993
1,dokter,0.016466600157243244
1,duodenum,0.09257220473619031
1,efek,0.022630248172133587
1,eight,0.0029561909765161293
1,eighty,0.003880972222561668
1,endoskopi,0.011245664869873382
1,eritema,0.0853124035013653
1,erosi,0.0831287658711513
1,esofagitis,0.017456523663785778
1,esofagus,0.013730499482629268
1,esophagogastroduodenoskopi,0.013865087495081398
1,fentanil,0.020288356339268003
1,five,0.0037245423143795657
1,fleksibel,0.015089899816657721
1,forty,0.008375300625334018
1,four,0.004627010606242535
1,fundus,0.01624608402035829
1,gambar,0.015265555524821872
1,garis,0.009514047833154864
1,gif,0.021328100875341326
1,gigi,0.014755503334079632
1,gmail,0.006102329581486185
1,hasil,0.011083734592650043
1,hindar,0.017190755299083444
1,history,0.015089899816657721
1,hundred,0.0025401290987874083
1,huroncom,0.012763732873404335
1,incisura,0.024373627636492205
1,indikasi,0.007821383427688284
1,inflamasi,0.03606564458259979
1,intravena,0.016696920170563623
1,jaring,0.015728057001868957
1,jeda,0.02702039252647143
1,kardia,0.01983752018906267
1,kerongkongan,0.014145228537932568
1,kriteria,0.024373627636492205
1,lambung,0.04498265947949353
1,letak,0.014291191631024257
1,lingkup,0.012340530640169791
1,luas,0.012044373055506844
1,masuk,0.0049339682930967365
1,mcg,0.019422791133759373
1,mg,0.009340355128291426
1,milik,0.008549787316917244
1,mm,0.011674119356117492
1,motilitas,0.02912124800889715
1,mukosa,0.026693040704598207
1,musculoskeletal,0.02342895635776705
1,nan,0.0
1,nilai,0.030179799633315442
1,ninety,0.007532309025468514
1,nonsteroid,0.02912124800889715
1,normal,0.01264039218103972
1,nyeri,0.008501135812513933
1,obat,0.031116345925485553
1,of,0.013711041031071078
1,oke,0.02912124800889715
1,one,0.0009672479904814005
1,paracetamol,0.020782191467787824
1,pasien,0.0076243857636384945
1,pasuk,0.03547332941327389
1,penuh,0.013730499482629268
1,perforasi,0.016466600157243244
1,periksa,0.0067508432755483926
1,personal,0.015447375834724828
1,perut,0.007864028500934478
1,pilorus,0.0411914984478878
1,pisah,0.02621096800371849
1,polip,0.03438151059816689
1,polipoid,0.045260496344267175
1,postbulbar,0.02912124800889715
1,pra,0.017190755299083444
1,praprosedur,0.02342895635776705
1,primer,0.020782191467787824
1,prosedur,0.014287478328935711
1,pulang,0.015089899816657721
1,q180,0.02912124800889715
1,reguler,0.02702039252647143
1,retrofleksi,0.015447375834724828
1,rinci,0.016696920170563623
1,ringan,0.013105484001859244
1,risiko,0.007779086481371388
1,ruang,0.004145695855503177
1,salur,0.030417189941774666
1,samping,0.013346520352299104
1,selesai,0.011004628519433523
1,sembuh,0.017190755299083444
1,seri,0.017736664706636946
1,seven,0.0050321958254522505
1,simpang,0.012763732873404335
1,sixteen,0.0
1,sri,0.016696920170563623
1,sulit,0.009633164507894237
1,system,0.020288356339268003
1,temu,0.018583744567777307
1,ten,0.001760302768952508
1,the,0.01983752018906267
1,thirty,0.0032289564349898187
1,thousand,0.0
1,three,0.006132898089917211
1,tindak,0.016034571095382873
1,tinjau,0.013599319130379064
1,tissue,0.018032822291299894
1,titrasi,0.025529811840192772
1,toples,0.02912124800889715
1,tuju,0.007779086481371388
1,tunggu,0.013730499482629268
1,two,0.0
1,ulserasi,0.05409846687389968
1,video,0.017456523663785778
1,wahyuni,0.020288356339268003
2,3x1,0.04372768884795082
2,and,0.0
2,com,0.020216222251866058
2,danazol,0.224816034628686
2,dian,0.12070844721091066
2,eight,0.04564358867740904
2,eleven,0.040609227189162336
2,five,0.028753466667010247
2,gmail,0.04710998436907334
2,hundred,0.009804898321319396
2,huroncom,0.09853601778268146
2,kusuma,0.11391248573909475
2,nan,0.0
2,one,0.007467154486516412
2,sixteen,0.0
2,ten,0.013589537376313361
2,thousand,0.0
2,twenty,0.009897598246933903
2,two,0.0
3,2bue,0.012478965420633665
3,3ble,0.012478965420633665
3,8c,0.012478965420633665
3,aca,0.02495793084126733
3,agun,0.012478965420633665
3,ahmad,0.011187579352796356
3,akut,0.007645605390144885
3,alami,0.008005103774520248
3,alir,0.008622031943636475
3,ana,0.012478965420633665
3,anak,0.0070382869844772475
3,and,0.0
3,anggap,0.009626025906030442
3,angiogram,0.012097447155992171
3,anti,0.012478965420633665
3,antibodi,0.011760924196973931
3,arteri,0.0070382869844772475
3,atur,0.008518124388862548
3,b12,0.012478965420633665
3,bahasa,0.012097447155992171
3,bahaya,0.012478965420633665
3,bangun,0.007292422658810095
3,basal,0.011459894152237285
3,belah,0.012874885918461004
3,bicara,0.018160307601988262
3,bilateral,0.005982972403145681
3,bingung,0.02495793084126733
3,biopsi,0.0060682665835733425
3,bp118,0.012478965420633665
3,brian,0.012478965420633665
3,cabang,0.02099708980949621
3,cadel,0.012478965420633665
3,cbc,0.011760924196973931
3,cc,0.005590969198821439
3,cerai,0.012478965420633665
3,cn,0.012478965420633665
3,com,0.0014440158751332897
3,crp,0.012478965420633665
3,ct,0.00832100189889983
3,curiga,0.010710281968044454
3,dadak,0.012478965420633665
3,demam,0.0080486870994589
3,derita,0.0068615001167112825
3,diagnosis,0.002367860322246972
3,disfungsi,0.010710281968044454
3,displasia,0.012478965420633665
3,distal,0.02343849336269463
3,distribusi,0.021877950837080544
3,edema,0.009340073167296207
3,eight,0.0016301281670503226
3,ekg,0.010301422414785386
3,ekstremitas,0.013609842363158684
3,eleven,0.002900659084940167
3,emosi,0.012478965420633665
3,enzim,0.012478965420633665
3,esr,0.012478965420633665
3,etoh,0.02495793084126733
3,extreme,0.012478965420633665
3,fhx,0.012478965420633665
3,fibromuskular,0.012478965420633665
3,film,0.02291978830447457
3,fleksor,0.011459894152237285
3,flu,0.012478965420633665
3,four,0.005102931697170339
3,frase,0.012478965420633665
3,fungsi,0.007571389714706996
3,ganggu,0.01645463338166828
3,ganglia,0.012478965420633665
3,gaya,0.010117026640106613
3,geser,0.010710281968044454
3,gigih,0.012478965420633665
3,gigil,0.011760924196973931
3,gmail,0.0033649988835052387
3,gs,0.011760924196973931
3,gyn,0.012478965420633665
3,haid,0.011760924196973931
3,hct,0.012478965420633665
3,hemiparesis,0.02291978830447457
3,hidup,0.010710281968044454
3,hipodensitas,0.012478965420633665
3,hiv,0.011760924196973931
3,hr83,0.012478965420633665
3,hundred,0.0021010496402827277
3,huroncom,0.0070382869844772475
3,hx,0.012478965420633665
3,immaturity,0.012478965420633665
3,infark,0.012478965420633665
3,isi,0.013723000233422565
3,iskemik,0.010938975418540272
3,iv,0.005982972403145681
3,jalan,0.008625868580250507
3,jam,0.00722673832102524
3,jamin,0.010498544904748105
3,jantung,0.006201180913958751
3,jarang,0.023521848393947862
3,kaku,0.010498544904748105
3,kaliber,0.012478965420633665
3,kanan,0.029876853920393347
3,kanker,0.018414317673821595
3,kardiolipin,0.012478965420633665
3,kaudatus,0.023521848393947862
3,kepala,0.024624742433341982
3,khas,0.011187579352796356
3,khawatir,0.009080153800994131
3,kiri,0.017403954509641002
3,kognitif,0.012478965420633665
3,kolesterol,0.010938975418540272
3,kompor,0.012478965420633665
3,kondisi,0.003185860042889342
3,konsumsi,0.010710281968044454
3,koordinasi,0.012478965420633665
3,kuat,0.009080153800994131
3,kursus,0.011760924196973931
3,lacunar,0.012478965420633665
3,lambat,0.009780503681088373
3,lancar,0.010938975418540272
3,larang,0.012478965420633665
3,latensi,0.012478965420633665
3,ledak,0.012097447155992171
3,leher,0.013390035044142705
3,lemah,0.017683841265193682
3,lesu,0.011760924196973931
